ID,Name,variationId,behaviorJudgeId,ezStateBehaviorType_old,refType,pad2,refId,consumeSA,stamina,consumeDurability,category,heroPoint,pad1,
100403001,Ruins Greatsword,403,1,1,0,[0|0],403001,0,0,0,1,0,[0|0]
100301007,,301,7,1,0,[0|0],301007,0,0,0,12,0,[0|0]
100301008,,301,8,1,0,[0|0],301008,0,0,0,12,0,[0|0]
100301009,,301,9,1,0,[0|0],301009,0,0,0,12,0,[0|0]
100301010,,301,10,1,0,[0|0],301010,0,0,0,12,0,[0|0]
100403005,Ruins Greatsword,403,5,1,1,[0|0],2275,0,0,0,1,0,[0|0]
101621001,Swift Spear -,1621,1,1,0,[0|0],1621001,0,14,0,1,0,[0|0]
101621010,Swift Spear -,1621,10,1,0,[0|0],1621010,0,14,0,1,0,[0|0]
101621011,Swift Spear -,1621,11,1,0,[0|0],1621011,0,14,0,1,0,[0|0]
101621012,Swift Spear -,1621,12,1,0,[0|0],1621012,0,14,0,1,0,[0|0]
101621020,Swift Spear -,1621,20,1,0,[0|0],1621020,0,14,0,1,0,[0|0]
101621021,Swift Spear -,1621,21,1,0,[0|0],1621021,0,14,0,1,0,[0|0]
101621030,Swift Spear -,1621,30,1,0,[0|0],1621030,0,14,0,1,0,[0|0]
101621200,Swift Spear -,1621,200,1,0,[0|0],1621200,0,17,0,12,0,[0|0]
101621201,Swift Spear -,1621,201,1,0,[0|0],1621201,0,17,0,12,0,[0|0]
101621210,Swift Spear -,1621,210,1,0,[0|0],1621210,0,17,0,12,0,[0|0]
101621211,Swift Spear -,1621,211,1,0,[0|0],1621211,0,17,0,12,0,[0|0]
101621212,Swift Spear -,1621,212,1,0,[0|0],1621212,0,17,0,12,0,[0|0]
101621220,Swift Spear -,1621,220,1,0,[0|0],1621220,0,17,0,12,0,[0|0]
101621221,Swift Spear -,1621,221,1,0,[0|0],1621221,0,17,0,12,0,[0|0]
101621230,Swift Spear -,1621,230,1,0,[0|0],1621230,0,17,0,12,0,[0|0]
101621400,Swift Spear -,1621,400,1,0,[0|0],1621400,0,14,0,2,0,[0|0]
101621401,Swift Spear -,1621,401,1,0,[0|0],1621401,0,14,0,2,0,[0|0]
101621410,Swift Spear -,1621,410,1,0,[0|0],1621410,0,14,0,2,0,[0|0]
101621411,Swift Spear -,1621,411,1,0,[0|0],1621411,0,14,0,2,0,[0|0]
101621412,Swift Spear -,1621,412,1,0,[0|0],1621412,0,14,0,2,0,[0|0]
101621420,Swift Spear -,1621,420,1,0,[0|0],1621420,0,14,0,2,0,[0|0]
101621421,Swift Spear -,1621,421,1,0,[0|0],1621421,0,14,0,2,0,[0|0]
101621430,Swift Spear -,1621,430,1,0,[0|0],1621430,0,14,0,2,0,[0|0]
102120101,Golem Fist -,2120,101,1,0,[0|0],1,0,0,0,1,0,[0|0]
102120106,Golem Fist -,2120,106,1,0,[0|0],1,0,0,0,1,0,[0|0]
102120301,Golem Fist -,2120,301,1,0,[0|0],1,0,0,0,12,0,[0|0]
102120307,Golem Fist -,2120,307,1,0,[0|0],1,0,28,0,12,0,[0|0]
102120308,Golem Fist -,2120,308,1,0,[0|0],1,0,0,0,12,0,[0|0]
106700163,Light Greatsword - Default,6700,163,1,0,[0|0],6700163,0,0,0,1,0,[0|0]
106700164,Light Greatsword - Default,6700,164,1,0,[0|0],6700164,0,0,0,1,0,[0|0]
106700363,Light Greatsword - Default,6700,363,1,0,[0|0],6700363,0,0,0,12,0,[0|0]
106700364,Light Greatsword - Default,6700,364,1,0,[0|0],6700364,0,0,0,12,0,[0|0]
301604901,Cleanrot Spear - [AOW] Sacred Phalanx,1604,901,1,1,[0|0],2910,0,0,0,1,0,[0|0]
301703900,Serpent-Hunter [AOW] Great-Serpent Hunt,1703,900,1,0,[0|0],301703900,0,30,0,12,0,[0|0]
301703901,Serpent-Hunter [AOW] Great-Serpent Hunt,1703,901,1,0,[0|0],301703901,0,40,0,12,0,[0|0]
301703905,Serpent-Hunter [AOW] Great-Serpent Hunt,1703,905,1,0,[0|0],301703905,0,20,0,12,0,[0|0]
301703950,Serpent-Hunter [AOW] Great-Serpent Hunt,1703,950,1,0,[0|0],301703950,0,30,0,12,0,[0|0]
301703951,Serpent-Hunter [AOW] Great-Serpent Hunt,1703,951,1,0,[0|0],301703951,0,40,0,12,0,[0|0]
301703955,Serpent-Hunter [AOW] Great-Serpent Hunt,1703,955,1,0,[0|0],301703955,0,20,0,12,0,[0|0]
301703970,Serpent-Hunter [AOW] Great-Serpent Hunt,1703,970,1,0,[0|0],301703970,0,40,0,12,0,[0|0]
301703971,Serpent-Hunter [AOW] Great-Serpent Hunt,1703,971,1,0,[0|0],301703971,0,20,0,12,0,[0|0]
301703975,Serpent-Hunter [AOW] Great-Serpent Hunt,1703,975,1,0,[0|0],301703975,0,40,0,12,0,[0|0]
302112902,Veteran's Prosthesis - [AOW] Storm Kick,2112,902,1,0,[0|0],302112902,0,25,0,12,0,[0|0]
302112907,Veteran's Prosthesis - [AOW] Storm Kick,2112,907,1,0,[0|0],302112907,0,25,0,12,0,[0|0]
302112912,Veteran's Prosthesis - [AOW] Storm Kick,2112,912,1,0,[0|0],302112912,0,25,0,12,0,[0|0]
302112917,Veteran's Prosthesis - [AOW] Storm Kick,2112,917,1,0,[0|0],302112917,0,25,0,12,0,[0|0]
600000502,,0,502,0,1,[0|0],200003270,0,0,0,12,0,[0|0]
600000503,,0,503,0,1,[0|0],200003280,0,0,0,12,0,[0|0]
600000504,,0,504,0,1,[0|0],200003290,0,0,0,12,0,[0|0]
600000505,,0,505,0,1,[0|0],200003300,0,0,0,12,0,[0|0]
600000506,,0,506,0,1,[0|0],200003310,0,0,0,12,0,[0|0]
600000571,,0,571,0,0,[0|0],600000571,0,10,0,2,0,[0|0]
600000574,,0,574,0,0,[0|0],600000574,0,10,0,2,0,[0|0]
600000710,,0,710,0,0,[0|0],304,0,17,0,5,0,[0|0]
600000715,,0,715,0,0,[0|0],304,0,17,0,5,0,[0|0]
600000771,,0,771,0,1,[0|0],200002855,0,10,0,12,0,[0|0]
600000774,,0,774,0,1,[0|0],200002871,0,10,0,12,0,[0|0]
600000920,,0,920,0,1,[0|0],200003260,0,30,0,12,0,[0|0]
602420000,Nanaya's Torch -,2420,0,0,1,[0|0],200002570,0,0,0,12,0,[0|0]
602420001,Nanaya's Torch -,2420,1,0,1,[0|0],200002570,0,0,0,12,0,[0|0]
602420002,Nanaya's Torch -,2420,2,0,1,[0|0],200002571,0,0,0,12,0,[0|0]
602420003,Nanaya's Torch -,2420,3,0,1,[0|0],200002572,0,0,0,12,0,[0|0]
602420004,Nanaya's Torch -,2420,4,0,1,[0|0],200002573,0,0,0,12,0,[0|0]
602420005,Nanaya's Torch -,2420,5,0,1,[0|0],200002574,0,0,0,12,0,[0|0]
602420006,Nanaya's Torch -,2420,6,0,1,[0|0],200002577,0,0,0,12,0,[0|0]
602420007,Nanaya's Torch -,2420,7,0,1,[0|0],200002580,0,10,0,12,0,[0|0]
700000210,,0,210,1,1,[0|0],200003190,0,1,0,12,0,[0|0]
700000211,,0,211,1,1,[0|0],200003192,0,1,0,12,0,[0|0]
