ID,Name,physRate,magRate,fireRate,thunRate,darkRate,staminaRate,saRate,
500105,,1,1,1,1,1,1.25,2.75
200800,,0.9,0.9,0.9,0.9,0.9,1.25,0.88
200805,,0.9,0.9,0.9,0.9,0.9,1.25,3.52
200860,,0.9,0.9,0.9,0.9,0.9,1.25,2.2
500000,,1,1,1,1,1,1.25,2.2
500100,,1,1,1,1,1,1.25,2.2
500800,,0.9,0.9,0.9,0.9,0.9,1.25,0.88
500805,,0.9,0.9,0.9,0.9,0.9,1.25,3.52
500860,,0.9,0.9,0.9,0.9,0.9,1.25,2.2
500890,,0.855,0.855,0.855,0.855,0.855,1.25,2.75
700800,,0.9,0.9,0.9,0.9,0.9,1.25,0.88
700805,,0.9,0.9,0.9,0.9,0.9,1.25,3.52
700860,,0.9,0.9,0.9,0.9,0.9,1.25,2.2
900800,,0.9,0.9,0.9,0.9,0.9,1.25,0.88
900805,,0.9,0.9,0.9,0.9,0.9,1.25,3.52
900860,,0.9,0.9,0.9,0.9,0.9,1.25,2.2
1600800,,0.85,0.85,0.85,0.85,0.85,1.25,0.84
1600805,,0.85,0.85,0.85,0.85,0.85,1.25,3.36
1600860,,0.85,0.85,0.85,0.85,0.85,1.25,2.1
1600890,,0.8325,0.8325,0.8325,0.8325,0.8325,1.25,2.63
2000800,,0.9,0.9,0.9,0.9,0.9,1.25,0.88
2000805,,0.9,0.9,0.9,0.9,0.9,1.25,3.52
2000860,,0.9,0.9,0.9,0.9,0.9,1.25,2.2
2100800,,0.9,0.9,0.9,0.9,0.9,1.25,0.88
2100805,,0.9,0.9,0.9,0.9,0.9,1.25,3.52
2100860,,0.9,0.9,0.9,0.9,0.9,1.25,2.2
2200800,,0.9,0.9,0.9,0.9,0.9,1.25,0.88
2200805,,0.9,0.9,0.9,0.9,0.9,1.25,3.52
2200860,,0.9,0.9,0.9,0.9,0.9,1.25,2.2
