ID,Name,disableParam_NT,disableParamReserve1,disableParamReserve2,matchAreaId,unknown_0x20,unknown_0x24,areaNo,gridXNo,gridZNo,pad3,posX,posY,posZ,signSubCategoryId,locationTextId,sortId,endPad,
670561,,0,0,[0|0|0],5000,5898329,1,30,18,0,0,-27.28,1567.68,100.75,65001,10670561,10,[0|0|0|0]
670501,,0,0,[0|0|0],5000,5898329,1,60,53,57,0,-126.307,1622.264,55.838,65001,10670501,30,[0|0|0|0]
670502,,0,0,[0|0|0],5000,5898329,1,60,52,53,0,-65.611,1804.388,-52.485,65001,10670502,40,[0|0|0|0]
670503,,0,0,[0|0|0],5000,5898329,1,60,52,57,0,-61.881,1679.065,-116.127,65001,10670503,50,[0|0|0|0]
670504,,0,0,[0|0|0],5000,5898329,1,60,51,57,0,-127.252,1637.637,-13.817,65001,10670504,60,[0|0|0|0]
670505,,0,0,[0|0|0],5000,5898329,1,60,51,57,0,-10.021,1596.279,64.588,65001,10670505,70,[0|0|0|0]
670506,,0,0,[0|0|0],5200,5898329,1,60,49,56,0,17.782,1260.692,-78.594,65002,10670506,40,[0|0|0|0]
670507,,0,0,[0|0|0],5200,5898329,1,60,49,57,0,34.742,1343.225,-42.512,65002,10670507,50,[0|0|0|0]
670560,,0,0,[0|0|0],5000,5898329,1,30,17,0,0,-129.74,1512.01,115.04,65000,10670560,10,[0|0|0|0]
670571,,0,0,[0|0|0],5000,5898329,1,31,22,0,0,-27.78,1614.92,69.6,65001,10670571,20,[0|0|0|0]
670802,,0,0,[0|0|0],8100,5898329,4,61,47,44,0,-32.43,304.58,-56.58,6820,10670802,10,[0|0|0|0]
670813,,0,0,[0|0|0],6860,5898329,4,40,2,0,0,196.282,-503.045,132.771,6860,10670813,100,[0|0|0|0]
670880,,0,0,[0|0|0],8100,5898329,4,43,1,0,0,-67.76,347.45,18.42,6800,10670880,120,[0|0|0|0]
670960,,0,0,[0|0|0],9000,5898329,4,40,1,0,0,-43.41,255.01,29.68,6900,10670960,100,[0|0|0|0]
670970,,0,0,[0|0|0],9020,5898329,4,41,1,0,0,-45.36,304.6,-25.5,6900,10670970,120,[0|0|0|0]
670980,,0,0,[0|0|0],8100,5898329,4,43,0,0,0,-88.48,164.867,145.32,6900,10670980,130,[0|0|0|0]
