ID,Name,disableParam_NT,disableParamReserve1,disableParamReserve2,logicId,battleGoalID,searchEye_dist,searchEye_angY,isNoAvoidHugeEnemy,enableWeaponOnOff,targetAILockDmyPoly,pad8,spEffectId_RangedAttack,searchTargetLv1ForgetTime,searchTargetLv2ForgetTime,BackHomeLife_OnHitEneWal,SightTargetForgetTime,idAttackCannotMove,ear_dist,callHelp_ActionAnimId,callHelp_CallActionId,eye_dist,isGuard_Act,pad6,ear_soundcut_dist,nose_dist,maxBackhomeDist,backhomeDist,backhomeBattleDist,nonBattleActLife,BackHome_LookTargetTime,BackHome_LookTargetDist,SoundTargetForgetTime,BattleStartDist,callHelp_MyPeerId,callHelp_CallPeerId,targetSys_DmgEffectRate,TeamAttackEffectivity,eye_angX,eye_angY,disableDark,caravanRole,callHelp_CallValidMinDistTarget,callHelp_CallValidRange,callHelp_ForgetTimeByArrival,callHelp_MinWaitTime,callHelp_MaxWaitTime,goalAction_ToCaution,ear_listenLevel,callHelp_ReplyBehaviorType,disablePathMove,skipArrivalVisibleCheck,thinkAttr_doAdmirer,enableNaviFlg_Edge,enableNaviFlg_LargeSpace,enableNaviFlg_Ladder,enableNaviFlg_Hole,enableNaviFlg_Door,enableNaviFlg_InSideWall,enableNaviFlg_Lava,enableNaviFlg_Edge_Ordinary,enableNaviFlg_reserve1,searchThreshold_Lv0toLv1,searchThreshold_Lv1toLv2,platoonReplyTime,platoonReplyAddRandomTime,searchEye_angX,isUpdateBattleSight,battleEye_updateDist,battleEye_updateAngX,battleEye_updateAngY,pad4,eye_BackOffsetDist,eye_BeginDist,actTypeOnFailedPath,goalAction_ToCautionImportant,shiftAnimeId_RangedAttack,actTypeOnNonBtlFailedPath,isBuddyAI,goalAction_ToSearchLv1,goalAction_ToSearchLv2,enableJumpMove,disableLocalSteering,goalAction_ToDisappear,changeStateAction_ToNormal,MemoryTargetForgetTime,rangedAttackId,useFall_onNormalCaution,useFall_onSearchBattle,enableJumpMove_onBattle,backToHomeStuckAct,pad3,soundBehaviorId01,soundBehaviorId02,soundBehaviorId03,soundBehaviorId04,soundBehaviorId05,soundBehaviorId06,soundBehaviorId07,soundBehaviorId08,weaponOffSpecialEffectId,weaponOnSpecialEffectId,weaponOffAnimId,weaponOnAnimId,surpriseAnimId,
150000003,,0,0,[0|0|0],10000,29999,0,0,0,0,1,0,-1,1,1,5,15,36,0.1,-1,-1,2,0,0,0,0,9999,9979,10,1,7,12,0.5,2,0,0,100,50,180,180,0,0,5,15,0,0,0,1,128,0,0,0,0,1,1,0,0,1,0,0,0,[0|0|0],-1,35,0,2,0,0,0,0,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0],0,0,3,1,-1,0,1,3,3,1,0,0,0,0.1,-1,0,2,1,0,[0|0|0|0],-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
53000000,Rellana- Twin Moon Knight,0,0,[0|0|0],10000,530000,0,0,0,0,1,0,-1,5,8,0,9999,3024,0.1,-1,-1,200,0,0,0,0,9999,9999,9999,1,7,12,9999,10,0,0,100,0,90,180,0,0,5,15,0,0,0,0,128,0,1,0,0,1,1,0,0,0,0,0,0,[0|0|0],5,35,0,2,0,0,0,0,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0],1,1,3,2,-1,0,0,0,2,0,1,2,0,9999,-1,0,2,0,1,[0|0|0|0],-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
150000000,,0,0,[0|0|0],10000,29999,0,0,0,0,1,0,-1,1,1,5,15,36,0.1,-1,-1,2,0,0,0,0,9999,9979,10,1,7,12,0.5,2,0,0,100,50,180,180,0,0,5,15,0,0,0,1,128,0,0,0,0,1,1,0,0,1,0,0,0,[0|0|0],-1,35,0,2,0,0,0,0,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0],0,0,3,1,-1,0,1,3,3,1,0,0,0,0.1,-1,0,2,1,0,[0|0|0|0],-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
150000001,,0,0,[0|0|0],10000,29999,0,0,0,0,1,0,-1,1,1,5,15,36,0.1,-1,-1,2,0,0,0,0,9999,9979,10,1,7,12,0.5,2,0,0,100,50,180,180,0,0,5,15,0,0,0,1,128,0,0,0,0,1,1,0,0,1,0,0,0,[0|0|0],-1,35,0,2,0,0,0,0,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0],0,0,3,1,-1,0,1,3,3,1,0,0,0,0.1,-1,0,2,1,0,[0|0|0|0],-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
150000002,,0,0,[0|0|0],10000,29999,10,180,0,0,1,0,-1,1,1,5,15,36,0.1,-1,-1,30,0,0,0,0,9999,9979,10,1,7,12,0.5,21,0,0,100,50,180,180,0,0,5,15,0,0,0,1,128,0,0,0,0,1,1,0,0,1,0,0,0,[0|0|0],-1,35,0,2,180,0,0,0,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0],0,0,3,1,-1,0,1,3,3,1,0,0,0,0.1,-1,0,2,1,0,[0|0|0|0],-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
150000004,,0,0,[0|0|0],10000,29999,0,0,0,0,1,0,-1,1,1,5,15,36,0.1,-1,-1,2,0,0,0,0,9999,9979,10,1,7,12,0.5,2,0,0,100,50,180,180,0,0,5,15,0,0,0,1,128,0,0,0,0,1,1,0,0,1,0,0,0,[0|0|0],-1,35,0,2,0,0,0,0,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0],0,0,3,1,-1,0,1,3,3,1,0,0,0,0.1,-1,0,2,1,0,[0|0|0|0],-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
150400000,,0,0,[0|0|0],10000,504000,10,180,0,0,1,0,-1,1,1,5,15,3000,0.1,-1,-1,30,0,0,0,0,9999,9979,10,1,7,12,0.5,21,0,0,100,80,180,180,0,0,5,15,0,0,0,1,128,0,0,0,0,1,1,0,0,1,0,0,0,[0|0|0],-1,35,0,0,180,0,0,0,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0],0,0,1,1,-1,0,1,3,3,1,0,0,0,0.1,-1,2,2,1,0,[0|0|0|0],-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
150800000,,0,0,[0|0|0],10000,508020,0,0,0,0,1,0,-1,1,1,5,15,3000,0.1,-1,-1,2,0,0,0,0,9999,9979,10,1,7,12,0.5,2,0,0,100,80,180,180,0,0,5,15,0,0,0,1,128,0,0,0,0,1,1,0,0,1,0,0,0,[0|0|0],-1,35,0,0,0,0,0,0,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0],0,0,1,1,-1,0,1,3,3,1,0,0,0,0.1,-1,2,2,1,0,[0|0|0|0],-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
150900000,,0,0,[0|0|0],509000,509000,0,0,0,0,1,0,-1,1,1,5,15,3000,0.1,-1,-1,2,0,0,0,0,9999,9979,10,1,7,12,0.5,2,0,0,100,60,180,180,0,0,5,15,0,0,0,1,128,0,0,0,0,1,1,0,0,0,0,0,0,[0|0|0],-1,35,0,0,0,0,0,0,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0],0,0,1,1,-1,0,1,3,3,1,0,0,0,0.1,-1,2,2,1,0,[0|0|0|0],-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
151600000,,0,0,[0|0|0],10000,516000,0,0,0,0,1,0,-1,1,1,5,15,3000,0.1,-1,-1,2,0,0,0,0,9999,9979,10,1,7,12,0.5,2,0,0,100,80,180,180,0,0,5,15,0,0,0,1,128,0,0,0,0,1,1,0,0,1,0,0,0,[0|0|0],-1,35,0,0,0,0,0,0,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0],0,0,1,1,-1,0,1,3,3,1,1,0,0,0.1,-1,2,2,1,0,[0|0|0|0],-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
